pid,MPA,beach,mangrove,wildlife,forest,ruins,roads,develop,cellarea,prop_coral,pa_min_dist,country
1517,NA,0,0,0,0,0,1,1,21650635.094607472,0,35033.2098675536,Honduras
1518,NA,0,0,0,0,0,0,0,21650635.094616175,0,34040.39007501102,Honduras
1519,NA,0,0,0,0,0,0,1,21650635.094610453,0,33766.41111065431,Honduras
1520,NA,0,0,0,0,0,1,1,21650635.09461403,0,34228.53900078876,Honduras
1521,NA,0,0,0,0,0,1,1,21650635.09460652,0,35397.95537828963,Honduras
1522,NA,0,0,0,0,0,0,0,21650635.09461212,0,37208.03149587711,Honduras
1523,NA,0,0,0,0,0,0,0,21650635.094614625,0,39558.39809195901,Honduras
1524,NA,0,0,0,0,0,0,0,21650635.094613552,0,42129.11208674816,Honduras
1525,NA,0,0,0,0,0,1,1,21650635.094609857,0,45069.773108510744,Honduras
1526,NA,0,0,0,0,0,0,0,21650635.094614387,0,48349.83775450948,Honduras
1527,NA,0,0,0,0,0,0,1,21650635.094611526,0,53846.36194300281,Guatemala
1528,NA,0,0,0,0,0,0,1,21650635.094611406,0,48973.26510255954,Guatemala
1529,NA,0,0,0,0,0,0,0,21650635.09461063,0,44128.570055173084,Guatemala
1530,NA,0,0,0,0,0,0,0,21650635.094608724,0,39322.77578481839,Guatemala
1531,NA,0,0,0,0,0,1,1,21650635.09461397,0,34572.108638783226,Guatemala
1532,NA,0,0,0,0,0,0,1,21650635.094608665,0,29902.854312601023,Guatemala
1533,NA,0,0,0,0,0,0,1,21650635.09461081,0,25360.021615712594,Guatemala
1534,NA,0,1,0,0,0,0,0,21650635.094613314,0,21025.715128341242,Guatemala
1535,NA,0,1,0,0,0,0,0,21650635.09461087,0,17059.621829539556,Guatemala
1536,NA,0,1,0,0,0,0,1,21650635.09461218,0,13783.348550901792,Guatemala
1537,NA,0,0,0,0,0,0,1,21650635.094608426,0,11274.068149503757,Guatemala
1538,NA,0,0,0,0,0,0,1,21650635.094611347,0,10052.592349658484,Guatemala
1539,NA,0,0,0,1,0,0,1,21650635.09460342,0,7217.612204008181,Guatemala
1540,NA,0,1,0,1,0,0,1,21650635.09461671,0,2221.220241971612,Guatemala
1541,NA,0,1,0,1,0,1,1,21650635.09460187,0,0,Guatemala
1542,NA,0,0,0,1,0,1,1,21650635.094612658,0,813.7966514248853,Guatemala
1543,NA,0,0,0,0,0,0,0,21650635.094606757,0,5076.138676594511,Guatemala
1544,NA,0,0,0,0,0,0,1,21650635.09460926,0,10031.799215910993,Guatemala
1545,NA,0,0,0,1,0,0,0,21650635.094615877,0,15016.884069364714,Guatemala
1546,NA,0,0,0,1,0,0,0,21650635.09460944,0,20009.41325469485,Guatemala
1547,NA,0,0,0,1,0,0,1,21650635.09460622,0,25004.92812310229,Guatemala
1548,NA,0,0,0,1,0,0,1,14192917.82001704,0,30001.93730554456,Guatemala
1549,NA,0,0,0,0,0,0,0,7206406.478120685,0,31120.61095290777,Honduras
1550,NA,1,1,0,0,0,0,0,3223798.6386981606,0.12052783422869906,32646.280652128262,Guatemala
1551,NA,0,1,0,1,0,0,0,5572841.670871764,0.03548954147912192,32205.443213588547,Honduras
1553,NA,0,0,0,0,0,0,0,8495195.507922143,0,11863.258443578496,Honduras
1554,NA,0,0,0,0,0,1,1,21176247.13633871,0,9378.969004649098,Honduras
1555,NA,0,0,0,0,0,1,1,21650635.094606042,0,9488.021800927438,Honduras
1556,NA,0,0,0,0,0,0,0,21650635.09461665,0,11734.022495383719,Honduras
1557,NA,0,0,0,0,0,0,1,21650635.094607472,0,14680.454240815503,Honduras
1558,NA,0,0,0,0,0,0,0,20772694.07748449,0,18514.874148764022,Honduras
1559,NA,0,0,0,0,0,0,0,11901232.647277206,0,23141.21200006427,Honduras
1560,NA,0,0,0,0,0,0,0,21341768.40345782,0,19574.763620343852,Honduras
1561,NA,0,0,0,0,0,0,0,21650635.09460962,0,14802.900338035419,Honduras
1562,NA,0,0,0,0,0,1,0,20712628.944446087,0,10250.870501731904,Honduras
1563,NA,0,0,0,0,0,1,1,21650635.09461558,0,6405.843712481439,Honduras
1564,NA,0,0,0,0,0,0,0,21650635.094605803,0,3896.8666398326363,Honduras
1565,NA,0,0,0,0,0,0,0,21650635.09460318,0,4945.676743129429,Honduras
1566,NA,0,0,0,0,0,0,0,10755196.439906955,0,7898.773852811843,Honduras
1567,NA,0,0,0,0,0,1,1,16027358.20975615,0,13272.572407316029,Honduras
1568,NA,0,0,0,0,0,1,1,21650635.094611287,0,16669.833276207053,Honduras
1569,NA,0,0,0,0,0,0,1,21650635.094608903,0,21462.285479322072,Honduras
1570,NA,0,0,0,0,0,0,0,21650635.09460783,0,26332.034758734662,Honduras
1571,NA,0,0,0,0,0,0,1,21650635.094614387,0,30801.832350021406,Honduras
1572,NA,0,0,0,0,0,0,0,21650635.09460926,0,25812.27704492901,Honduras
1573,NA,0,0,1,0,0,0,0,21650635.09460962,0,20827.731906511126,Honduras
1574,NA,0,0,1,0,0,0,0,21650635.094616055,0,15852.923594552623,Honduras
1575,NA,0,0,1,0,0,1,1,21650635.094608426,0,10901.190605621614,Honduras
1576,NA,0,0,0,1,0,1,1,21650635.09461236,0,6029.65394905742,Honduras
1577,NA,0,0,0,0,0,1,1,21650635.094605565,0,1951.4852040615451,Honduras
1578,NA,0,0,0,0,0,0,1,21650635.09461236,0,1203.562216592496,Honduras
1579,NA,0,0,0,0,0,0,0,21650635.094605327,0,4452.6976334946785,Honduras
1580,NA,0,0,0,0,0,0,0,21650635.094612837,0,8110.609785566474,Honduras
1581,NA,0,0,0,0,0,0,0,21650635.094604015,0,12716.674951347512,Honduras
